Fecha,Comuna,Casos Confirmados,CUT
29-03-2020,Padre Las Casas,9,09112
29-03-2020,Perquenco,1,09113
29-03-2020,Pitrufquén,4,09114
29-03-2020,Pucón,3,09115
29-03-2020,Purén,0,09208
29-03-2020,Renaico,0,09209
29-03-2020,Saavedra,0,09116
29-03-2020,Temuco,154,09101
29-03-2020,Teodoro Schmidt,0,09117
29-03-2020,Toltén,1,09118
29-03-2020,Traiguén,0,09210
29-03-2020,Victoria,5,09211
29-03-2020,Vilcún,4,09119
29-03-2020,Villarrica,1,09120
29-03-2020,Corral,0,14102
29-03-2020,Futrono,0,14202
29-03-2020,La Unión,1,14201
29-03-2020,Lago Ranco,0,14203
29-03-2020,Lanco,0,14103
29-03-2020,Los Lagos,0,14104
29-03-2020,Máfil,1,14105
29-03-2020,Mariquina,0,14106
29-03-2020,Paillaco,0,14107
29-03-2020,Panguipulli,0,14108
29-03-2020,Río Bueno,2,14204
29-03-2020,Valdivia,12,14101
29-03-2020,Ancud,0,10202
29-03-2020,Calbuco,4,10102
29-03-2020,Castro,1,10201
29-03-2020,Chaitén,0,10401
29-03-2020,Chonchi,0,10203
29-03-2020,Cochamó,0,10103
29-03-2020,Curaco de Vélez,0,10204
29-03-2020,Dalcahue,0,10205
29-03-2020,Fresia,0,10104
29-03-2020,Frutillar,0,10105
29-03-2020,Futaleufú,0,10402
29-03-2020,Hualaihué,1,10403
29-03-2020,Llanquihue,0,10107
29-03-2020,Los Muermos,1,10106
29-03-2020,Maullín,0,10108
29-03-2020,Osorno,66,10301
29-03-2020,Palena,0,10404
29-03-2020,Puerto Montt,34,10101
29-03-2020,Puerto Octay,1,10302
29-03-2020,Puerto Varas,1,10109
29-03-2020,Puqueldón,0,10206
29-03-2020,Purranque,0,10303
29-03-2020,Puyehue,1,10304
29-03-2020,Queilén,0,10207
29-03-2020,Quellón,0,10208
29-03-2020,Quemchi,0,10209
29-03-2020,Quinchao,1,10210
29-03-2020,Río Negro,0,10305
29-03-2020,San Juan de la Costa,0,10306
29-03-2020,San Pablo,1,10307
29-03-2020,Aysén,1,11201
29-03-2020,Chile Chico,0,11401
29-03-2020,Cisnes,0,11202
29-03-2020,Cochrane,0,11301
29-03-2020,Coyhaique,2,11101
29-03-2020,Guaitecas,0,11203
29-03-2020,Lago Verde,0,11102
29-03-2020,O'Higgins,0,11302
29-03-2020,Río Ibáñez,0,11402
29-03-2020,Tortel,0,11303
29-03-2020,Antártica,0,12202
29-03-2020,Cabo de Hornos,5,12201
29-03-2020,Laguna Blanca,0,12102
29-03-2020,Natales,1,12401
29-03-2020,Porvenir,0,12301
29-03-2020,Primavera,0,12302
29-03-2020,Punta Arenas,29,12101
29-03-2020,Río Verde,0,12103
29-03-2020,San Gregorio,0,12104
29-03-2020,Timaukel,0,12303
29-03-2020,Torres del Paine,0,12402
31-03-2020,Arica,6,15101
31-03-2020,Camarones,0,15102
31-03-2020,General Lagos,0,15202
31-03-2020,Putre,0,15201
31-03-2020,Alto Hospicio,1,01107
31-03-2020,Camiña,0,01402
31-03-2020,Colchane,0,01403
31-03-2020,Huara,0,01404
31-03-2020,Iquique,9,01101
31-03-2020,Pica,0,01405
31-03-2020,Pozo Almonte,0,01401
31-03-2020,Antofagasta,32,02101
31-03-2020,Calama,3,02201
31-03-2020,María Elena,0,02302
31-03-2020,Mejillones,0,02102
31-03-2020,Ollagüe,0,02202
31-03-2020,San Pedro de Atacama,2,02203
31-03-2020,Sierra Gorda,0,02103
31-03-2020,Taltal,0,02104
31-03-2020,Tocopilla,2,02301
31-03-2020,Alto del Carmen,0,03302
31-03-2020,Caldera,0,03102
31-03-2020,Chañaral,0,03201
31-03-2020,Copiapó,2,03101
31-03-2020,Diego de Almagro,1,03202
31-03-2020,Freirina,0,03303
31-03-2020,Huasco,0,03304
31-03-2020,Tierra Amarilla,0,03103
31-03-2020,Vallenar,0,03301
31-03-2020,Andacollo,0,04103
31-03-2020,Canela,0,04202
31-03-2020,Combarbalá,0,04302
31-03-2020,Coquimbo,19,04102
31-03-2020,Illapel,0,04201
31-03-2020,La Higuera,0,04104
31-03-2020,La Serena,3,04101
31-03-2020,Los Vilos,1,04203
31-03-2020,Monte Patria,0,04303
31-03-2020,Ovalle,4,04301
31-03-2020,Paihuano,0,04105
31-03-2020,Punitaqui,0,04304
31-03-2020,Río Hurtado,1,04305
