Fecha,CUT,Region,Comuna,Casos Confirmados
30-03-2020,10204,LL,Curaco de Vélez,0
30-03-2020,10205,LL,Dalcahue,0
30-03-2020,10104,LL,Fresia,0
30-03-2020,10105,LL,Frutillar,0
30-03-2020,10402,LL,Futaleufú,0
30-03-2020,10403,LL,Hualaihué,1
30-03-2020,10107,LL,Llanquihue,0
30-03-2020,10106,LL,Los Muermos,1
30-03-2020,10108,LL,Maullín,0
30-03-2020,10301,LL,Osorno,66
30-03-2020,10404,LL,Palena,0
30-03-2020,10101,LL,Puerto Montt,34
30-03-2020,10302,LL,Puerto Octay,1
30-03-2020,10109,LL,Puerto Varas,1
30-03-2020,10206,LL,Puqueldón,0
30-03-2020,10303,LL,Purranque,0
30-03-2020,10304,LL,Puyehue,1
30-03-2020,10207,LL,Queilén,0
30-03-2020,10208,LL,Quellón,0
30-03-2020,10209,LL,Quemchi,0
30-03-2020,10210,LL,Quinchao,1
30-03-2020,10305,LL,Río Negro,0
30-03-2020,10306,LL,San Juan de la Costa,0
30-03-2020,10307,LL,San Pablo,1
30-03-2020,11201,AI,Aisén,1
30-03-2020,11401,AI,Chile Chico,0
30-03-2020,11202,AI,Cisnes,0
30-03-2020,11301,AI,Cochrane,0
30-03-2020,11101,AI,Coyhaique,2
30-03-2020,11203,AI,Guaitecas,0
30-03-2020,11102,AI,Lago Verde,0
30-03-2020,11302,AI,O'Higgins,0
30-03-2020,11402,AI,Río Ibáñez,0
30-03-2020,11303,AI,Tortel,0
30-03-2020,12202,MA,Antártica,0
30-03-2020,12201,MA,Cabo de Hornos,5
30-03-2020,12102,MA,Laguna Blanca,0
30-03-2020,12401,MA,Natales,1
30-03-2020,12301,MA,Porvenir,0
30-03-2020,12302,MA,Primavera,0
30-03-2020,12101,MA,Punta Arenas,29
30-03-2020,12103,MA,Río Verde,0
30-03-2020,12104,MA,San Gregorio,0
30-03-2020,12303,MA,Timaukel,0
30-03-2020,12402,MA,Torres del Paine,0
01-04-2020,15101,AP,Arica,6
01-04-2020,15102,AP,Camarones,0
01-04-2020,15202,AP,General Lagos,0
01-04-2020,15201,AP,Putre,0
01-04-2020,1107,TA,Alto Hospicio,1
01-04-2020,1402,TA,Camiña,0
01-04-2020,1403,TA,Colchane,0
01-04-2020,1404,TA,Huara,0
01-04-2020,1101,TA,Iquique,9
01-04-2020,1405,TA,Pica,0
01-04-2020,1401,TA,Pozo Almonte,0
01-04-2020,2101,AN,Antofagasta,32
01-04-2020,2201,AN,Calama,3
01-04-2020,2302,AN,María Elena,0
01-04-2020,2102,AN,Mejillones,0
01-04-2020,2202,AN,Ollagüe,0
01-04-2020,2203,AN,San Pedro de Atacama,2
01-04-2020,2103,AN,Sierra Gorda,0
01-04-2020,2104,AN,Taltal,0
01-04-2020,2301,AN,Tocopilla,2
01-04-2020,3302,AT,Alto del Carmen,0
01-04-2020,3102,AT,Caldera,0
01-04-2020,3201,AT,Chañaral,0
01-04-2020,3101,AT,Copiapó,2
01-04-2020,3202,AT,Diego de Almagro,1
01-04-2020,3303,AT,Freirina,0
01-04-2020,3304,AT,Huasco,0
01-04-2020,3103,AT,Tierra Amarilla,0
01-04-2020,3301,AT,Vallenar,0
01-04-2020,4103,CO,Andacollo,0
01-04-2020,4202,CO,Canela,0
01-04-2020,4302,CO,Combarbalá,0
01-04-2020,4102,CO,Coquimbo,19
01-04-2020,4201,CO,Illapel,0
01-04-2020,4104,CO,La Higuera,0
01-04-2020,4101,CO,La Serena,3
01-04-2020,4203,CO,Los Vilos,1
01-04-2020,4303,CO,Monte Patria,0
01-04-2020,4301,CO,Ovalle,4
01-04-2020,4105,CO,Paihuano,0
01-04-2020,4304,CO,Punitaqui,0
01-04-2020,4305,CO,Río Hurtado,1
01-04-2020,4204,CO,Salamanca,2
01-04-2020,4106,CO,Vicuña,0
01-04-2020,5602,VS,Algarrobo,7
01-04-2020,5402,VS,Cabildo,0
01-04-2020,5502,VS,La Calera,6
01-04-2020,5302,VS,Calle Larga,0
01-04-2020,5603,VS,Cartagena,0
01-04-2020,5102,VS,Casablanca,1
01-04-2020,5702,VS,Catemu,0
01-04-2020,5103,VS,Concón,1
01-04-2020,5604,VS,El Quisco,0
01-04-2020,5605,VS,El Tabo,1
01-04-2020,5503,VS,Hijuelas,0
01-04-2020,5201,VS,Isla de Pascua,5
01-04-2020,5104,VS,Juan Fernández,0
01-04-2020,5504,VS,La Cruz,1
01-04-2020,5401,VS,La Ligua,2
01-04-2020,5802,VS,Limache,3
01-04-2020,5703,VS,Llaillay,0
01-04-2020,5301,VS,Los Andes,3
01-04-2020,5506,VS,Nogales,0
01-04-2020,5803,VS,Olmué,0
01-04-2020,5704,VS,Panquehue,0
01-04-2020,5403,VS,Papudo,0
