CUT (Código Único Territorial),Nombre,Provincia,,Superficie,Población,Densidad,IDH 2005,IDH Categoria,Lat,Lon
5501,Quillota,Quillota,Valparaíso,302,90517,299.5,0.726,Alto,-32.915,-71.264
5502,La Calera,Quillota,Valparaíso,60.5,50544,835.4,0.7,Alto,-32.784,-71.204
5503,Hijuelas,Quillota,Valparaíso,267,17988,67.4,0.672,Medio,-32.855,-71.094
5504,La Cruz,Quillota,Valparaíso,78,22098,283.3,0.763,Alto,-32.824,-71.244
5506,Nogales,Quillota,Valparaíso,405,22120,54.6,0.689,Medio,-32.736,-71.208
5601,San Antonio,San Antonio,Valparaíso,405,91350,225.6,0.697,Medio,-33.595,-71.607
5602,Algarrobo,San Antonio,Valparaíso,176,13817,78.5,0.722,Alto,-33.369,-71.668
5603,Cartagena,San Antonio,Valparaíso,246,22738,92.4,0.708,Alto,-33.554,-71.608
5604,El Quisco,San Antonio,Valparaíso,51,15955,312.8,0.745,Alto,-33.391,-71.693
5605,El Tabo,San Antonio,Valparaíso,99,13286,134.2,0.747,Alto,-33.48,-71.621
5606,Santo Domingo,San Antonio,Valparaíso,536,10900,20.3,0.751,Alto,-33.708,-71.63
5701,San Felipe,San Felipe de Aconcagua,Valparaíso,186,76844,413.1,0.73,Alto,-32.75,-70.713
5702,Catemu,San Felipe de Aconcagua,Valparaíso,361.6,13998,38.7,0.669,Medio,-32.781,-70.969
5703,LlaiLlay,San Felipe de Aconcagua,Valparaíso,349.1,24608,70.5,0.676,Medio,-32.844,-70.957
5704,Panquehue,San Felipe de Aconcagua,Valparaíso,121.9,7273,59.7,0.696,Medio,-32.784,-70.837
5705,Putaendo,San Felipe de Aconcagua,Valparaíso,1474,16754,11.4,0.674,Medio,-32.628,-70.716
5706,Santa María,San Felipe de Aconcagua,Valparaíso,166.3,15241,91.7,0.699,Medio,-32.75,-70.667
5801,Quilpué,Marga Marga,Valparaíso,536.9,151708,282.6,0.752,Alto,-33.048,-71.442
5802,Limache,Marga Marga,Valparaíso,294,46121,156.9,0.722,Alto,-33.003,-71.261
5803,Olmué,Marga Marga,Valparaíso,232,17516,75.5,0.701,Alto,-33.009,-71.17
5804,Villa Alemana,Marga Marga,Valparaíso,97,126548,1304.6,0.755,Alto,-33.066,-71.329
6101,Rancagua,Cachapoal,O’Higgins,260.3,241744,928.7,0.732,Alto,-34.162,-70.741
6102,Codegua,Cachapoal,O’Higgins,287,12988,45.3,0.706,Alto,-34.033,-70.667
6103,Coinco,Cachapoal,O’Higgins,98,7359,75.1,0.678,Medio,-34.273,-70.953
6104,Coltauco,Cachapoal,O’Higgins,225,19597,87.1,0.644,Medio,-34.297,-71.092
6105,Doñihue,Cachapoal,O’Higgins,78,20887,267.8,0.685,Medio,-34.185,-70.884
6106,Graneros,Cachapoal,O’Higgins,113,33437,295.9,0.691,Medio,-34.063,-70.721
6107,Las Cabras,Cachapoal,O’Higgins,749,24640,32.9,0.661,Medio,-34.285,-71.31
6108,Machalí,Cachapoal,O’Higgins,2597,52505,20.2,0.73,Alto,-34.185,-70.662
6109,Malloa,Cachapoal,O’Higgins,113,13407,118.7,0.649,Medio,-34.445,-70.945
6110,Mostazal,Cachapoal,O’Higgins,524,25343,48.4,0.691,Medio,-33.977,-70.709
6111,Olivar,Cachapoal,O’Higgins,45,13608,302.4,0.661,Medio,-34.214,-70.819
6112,Peumo,Cachapoal,O’Higgins,153.1,14313,93.5,0.674,Medio,-34.389,-71.171
6113,Pichidegua,Cachapoal,O’Higgins,320,19714,61.6,0.652,Medio,-34.357,-71.287
6114,Quinta de Tilcoco,Cachapoal,O’Higgins,93,13002,139.8,0.678,Medio,-34.357,-70.969
6115,Rengo,Cachapoal,O’Higgins,755,58825,77.9,0.68,Medio,-34.402,-70.856
6116,Requínoa,Cachapoal,O’Higgins,673,27968,41.6,0.668,Medio,-34.283,-70.806
6117,San Vicente,Cachapoal,O’Higgins,497.8,46766,93.9,0.694,Medio,-34.083,-71.75
6201,Pichilemu,Cardenal Caro,O’Higgins,749.1,16394,21.9,0.677,Medio,-34.402,-72.009
6202,La Estrella,Cardenal Caro,O’Higgins,435,3041,6.99,0.696,Medio,-34.2,-71.667
6203,Litueche,Cardenal Caro,O’Higgins,619,6294,10.2,0.645,Medio,-34.119,-71.728
6204,Marchihue,Cardenal Caro,O’Higgins,660,7308,11.1,0.67,Medio,-34.4,-71.633
6205,Navidad,Cardenal Caro,O’Higgins,300,6641,22.1,0.651,Medio,-33.95,-71.833
6206,Paredones,Cardenal Caro,O’Higgins,562,6188,11,0.628,Medio,-34.661,-71.894
6301,San Fernando,Colchagua,O’Higgins,2441,73973,30.3,0.725,Alto,-34.584,-70.987
6302,Chépica,Colchagua,O’Higgins,503,15037,29.9,0.637,Medio,-34.733,-71.283
6303,Chimbarongo,Colchagua,O’Higgins,498,35399,71.1,0.674,Medio,-34.708,-71.042
6304,Lolol,Colchagua,O’Higgins,597,6811,11.4,0.628,Medio,-34.731,-71.636
6305,Nancagua,Colchagua,O’Higgins,111,17833,160.7,0.665,Medio,-34.649,-71.203
6306,Palmilla,Colchagua,O’Higgins,237,12482,52.7,0.676,Medio,-34.604,-71.358
6307,Peralillo,Colchagua,O’Higgins,282.6,11007,38.9,0.653,Medio,-34.483,-71.483
6308,Placilla,Colchagua,O’Higgins,146.9,8738,59.5,0.621,Medio,-34.633,-71.117
6309,Pumanque,Colchagua,O’Higgins,441,3421,7.76,0.635,Medio,-34.605,-71.644
