ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,1,0
732,0,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,0,0
736,0,0,0,4
737,0,0,0,0
738,0,0,0,0
739,0,0,0,1
740,0,0,0,0
741,0,0,1,0
742,1,1,0,0
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,0,0,0,0
754,0,0,0,0
755,0,1,0,1
756,0,0,0,0
757,0,0,0,0
758,0,0,0,0
759,0,0,0,0
760,0,1,1,0
761,0,0,0,0
762,0,2,0,3
763,1,2,1,0
764,0,1,1,0
765,0,0,0,0
766,0,0,4,0
767,0,1,6,6
768,2,15,1,4
769,1,14,11,8
770,2,9,12,5
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,11,10,11,2
775,0,6,4,3
776,5,8,15,7
777,0,0,0,0
778,0,0,0,0
779,0,11,5,1
780,2,0,2,1
781,4,3,6,0
782,0,9,11,6
783,3,1,0,4
784,0,0,0,0
785,2,0,0,0
786,4,8,10,2
787,2,4,0,6
788,2,10,7,6
789,2,7,1,2
790,0,2,1,0
791,0,0,0,0
792,1,1,0,0
793,0,0,1,0
794,0,0,3,1
795,0,1,3,1
796,0,0,0,0
797,0,0,0,0
798,0,0,3,1
799,0,0,0,1
800,0,6,1,0
801,1,4,4,6
802,1,1,0,3
803,0,0,0,0
804,0,0,0,0
805,0,0,0,2
806,3,7,5,3
807,1,3,4,2
808,0,0,0,0
809,0,0,0,0
810,0,0,0,0
811,0,0,0,0
812,0,0,0,0
813,0,0,0,0
814,0,0,1,0
815,0,1,4,1
816,0,0,0,2
817,0,0,3,0
818,0,0,0,0
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0,0,0,1
824,0,0,0,0
825,0,0,0,0
826,0,0,0,0
827,0,0,0,0
828,0,0,0,0
829,0,0,0,0
830,0,0,0,0
831,0,0,0,0
832,0,0,0,0
833,0,0,0,0
834,0,0,0,0
835,0,0,0,0
836,0,0,0,0
837,0,0,0,0
838,0,0,0,0
839,0,0,0,0
840,0,0,0,0
841,0,0,0,0
842,0,0,0,0
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0,0,0
849,0,0,0,0
850,0,0,0,0
851,0,1,0,0
852,0,0,0,0
853,0,0,0,0
854,0,0,0,0
855,0,0,0,0
856,0,0,0,0
857,0,0,0,0
858,0,0,0,0
859,0,0,0,0
860,0,0,0,0
861,0,0,0,0
862,0,0,0,0
863,0,0,0,0
864,0,0,0,0
865,0,0,0,0
866,1,2,1,0
867,6,3,4,5
868,3,5,5,5
869,0,0,0,0
870,0,0,5,0
871,0,0,0,0
872,0,0,0,0
873,0,0,1,0
874,0,0,0,0
875,0,0,0,0
876,1,8,3,0
877,0,0,0,1
878,4,3,0,0
879,0,0,0,1
880,1,0,0,1
881,0,0,0,0
882,0,0,1,0
883,0,2,4,2
884,0,0,1,0
885,1,5,0,1
886,0,0,0,0
887,0,0,0,0
888,0,0,0,0
889,0,0,0,0
890,0,0,0,3
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
894,0,1,1,0
895,0,0,0,0
896,0,0,0,0
897,1,0,0,0
898,0,0,0,0
899,0,0,0,0
900,0,1,0,0
901,0,0,0,1
902,3,5,7,8
903,0,4,5,6
904,0,0,2,0
905,0,0,0,0
906,0,0,0,0
907,5,0,0,0
908,4,0,0,1
909,0,0,6,1
910,6,18,21,20
911,5,12,4,5
912,1,0,5,2
913,0,0,0,0
914,3,2,5,0
915,3,10,4,4
916,5,12,8,14
917,5,22,10,17
918,2,3,4,0
919,0,1,0,0
920,0,0,0,0
921,0,0,0,0
922,9,6,7,14
923,1,6,3,6
924,7,7,3,5
925,0,0,0,0
926,0,0,1,0
927,0,0,0,0
928,0,0,2,1
929,0,0,0,0
930,0,0,0,0
931,0,1,1,0
932,0,0,0,0
933,0,0,0,0
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,0,0,0,0
945,0,0,0,0
946,0,0,0,0
947,0,0,0,0
948,0,0,0,0
949,0,0,0,0
950,0,0,0,0
951,0,0,0,0
952,0,0,0,0
953,0,0,0,0
954,0,0,0,0
955,0,0,0,0
956,1,0,0,0
957,0,0,0,0
958,0,0,0,0
959,12,0,0,0
960,0,0,0,0
961,0,0,0,0
962,0,0,0,0
963,0,0,0,0
964,0,0,0,0
965,0,0,0,0
966,0,0,0,0
967,0,0,0,0
968,0,0,0,0
969,0,0,0,0
970,0,0,0,0
971,0,0,0,0
972,0,0,0,0
973,0,0,0,0
974,0,0,0,0
975,0,0,0,0
976,0,0,0,0
977,0,0,0,0
978,0,0,0,0
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,0,0,0,0
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,0,0,0,0
990,0,1,1,0
991,0,1,0,0
992,0,0,0,0
993,0,0,0,0
994,0,0,0,0
995,0,0,0,0
996,0,0,0,0
997,0,0,0,0
998,0,0,0,0
999,0,0,0,0
1000,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1003,0,0,0,0
1004,0,0,0,0
1005,0,0,0,0
1006,0,0,0,0
1007,0,0,0,0
1008,0,0,0,0
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,0,0,0,0
1013,1,0,0,0
1014,2,4,9,5
1015,2,0,2,1
1016,3,0,0,2
1017,2,2,7,5
1018,7,11,8,24
1019,2,7,10,10
1020,0,3,4,0
1021,0,0,0,0
1022,0,0,0,0
1023,0,0,0,2
1024,2,1,8,12
1025,1,2,15,7
1026,3,7,4,6
1027,0,2,13,6
1028,0,0,0,0
1029,0,0,0,0
1030,0,0,0,0
1031,0,0,0,0
1032,0,0,0,0
1033,0,0,1,0
1034,0,0,0,0
1035,2,1,2,3
1036,1,0,4,5
1037,0,1,0,0
1038,1,0,3,5
1039,0,1,0,1
1040,0,0,1,0
1041,0,0,0,0
1042,0,0,0,0
1043,0,0,1,0
1044,0,0,2,0
1045,0,0,0,0
1046,0,2,5,11
1047,0,0,3,0
1048,0,0,0,0
1049,0,0,0,1
1050,0,1,1,0
1051,0,0,0,0
1052,0,0,0,0
1053,0,0,0,0
1054,0,0,1,1
1055,0,0,0,0
1056,1,1,3,3
1057,0,0,4,4
1058,0,1,1,1
1059,0,2,5,6
1060,0,0,0,0
1061,0,0,0,0
1062,0,0,0,1
1063,0,0,0,0
1064,0,6,7,2
1065,0,0,2,0
1066,0,5,1,8
1067,1,2,6,2
1068,0,9,4,3
1069,0,1,2,0
1070,0,0,0,0
1071,0,0,0,0
1072,0,0,1,1
1073,0,0,0,3
1074,2,11,5,4
1075,0,2,1,0
1076,0,0,2,1
1077,0,0,0,1
1078,1,3,0,1
1079,0,0,7,5
1080,0,0,0,0
1081,0,0,0,0
1082,0,0,0,0
1083,1,1,1,1
1084,0,0,1,1
1085,1,3,2,1
1086,0,3,4,9
1087,0,1,3,1
1088,0,0,1,0
1089,0,0,0,0
1090,0,0,0,0
1091,0,0,0,0
1092,0,0,0,1
1093,0,0,0,0
1094,0,0,0,0
1095,0,2,3,3
1096,0,1,5,8
1097,0,0,0,1
1098,0,2,1,2
1099,0,0,0,0
1100,0,2,6,2
1101,0,3,4,7
1102,0,1,6,2
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1107,0,0,0,0
1108,0,0,0,0
1109,0,0,0,0
1110,0,0,1,0
1111,0,0,0,1
1112,0,0,0,0
1113,0,5,9,8
1114,2,3,1,2
1115,0,0,0,0
1116,0,2,1,1
1117,0,0,1,1
1118,1,0,1,1
1119,1,5,6,3
1120,2,2,4,3
1121,2,5,2,4
1122,0,0,0,0
1123,0,0,0,1
1124,0,0,0,0
1125,1,0,0,0
1126,0,0,0,0
1127,1,3,3,1
1128,0,3,6,9
1129,2,0,1,1
1130,1,0,0,0
1131,0,2,1,4
1132,1,3,3,3
1133,0,0,0,0
1134,0,1,0,0
1135,0,4,2,5
1136,2,6,8,23
1137,1,3,3,3
1138,0,0,0,0
1139,0,4,0,0
1140,0,0,0,0
1141,0,0,0,0
1142,0,0,0,0
1143,0,2,4,2
1144,0,0,4,4
1145,2,3,11,6
1146,0,1,8,7
1147,4,2,3,3
1148,0,2,0,2
1149,0,0,1,0
1150,0,0,2,2
1151,1,0,2,4
1152,5,6,7,6
1153,3,4,3,2
1154,0,0,0,0
1155,0,0,0,0
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,0,0
1159,2,2,0,0
1160,0,1,0,0
1161,0,0,0,0
1162,0,0,0,0
1163,3,3,6,2
1164,1,1,3,5
1165,0,2,12,20
1166,0,0,0,0
