ID_C_AUC,NOMBRE,COD_REGION,COD_COMUNA,COMUNA,X1,Y1,X2,Y2,X3,Y3,X4,Y4
7083,Tres Esquinas,16,16102,BULNES,-8037932.4189607,-4411024.68440387,-8039178.27973357,-4410982.62908391,-8039136.34202385,-4409731.46611755,-8037890.62653177,-4409773.50281143
7084,Tres Esquinas,16,16102,BULNES,-8037932.4189607,-4411024.68440387,-8037890.62653177,-4409773.50281143,-8036644.89248785,-4409815.39362313,-8036686.53962744,-4411066.59377723
7085,San Ignacio,16,16108,SAN IGNACIO,-8019242.31614696,-4411637.99587478,-8020488.44857017,-4411598.13063849,-8020448.69095584,-4410346.69504834,-8019202.70393846,-4410386.54262555
7086,San Ignacio,16,16108,SAN IGNACIO,-8017996.16612866,-4411677.71503927,-8019242.31614696,-4411637.99587478,-8019202.70393846,-4410386.54262555,-8017956.69933409,-4410426.24419549
7087,San Ignacio,16,16108,SAN IGNACIO,-8016749.99857967,-4411717.28812387,-8017996.16612866,-4411677.71503927,-8017956.69933409,-4410426.24419549,-8016710.6772071,-4410465.79975004
7088,Caleta Lenga,8,8112,HUALPÉN,-8146245.83010667,-4406820.89550543,-8145001.80540644,-4406875.46701903,-8145056.08172774,-4408124.95581794,-8146300.25092854,-4408070.36015139
7089,Gran Concepción,8,8112,HUALPÉN,-8141323.42991529,-4408287.87178141,-8142567.67115737,-4408233.71164401,-8142513.68387035,-4406984.17473079,-8141269.58716193,-4407038.31090686
7090,Gran Concepción,8,8112,HUALPÉN,-8140079.16478697,-4408341.88672038,-8141323.42991529,-4408287.87178141,-8141269.58716193,-4407038.31090686,-8140025.46657824,-4407092.30194835
7091,Gran Concepción,8,8112,HUALPÉN,-8138834.87583618,-4408395.75644989,-8140079.16478697,-4408341.88672038,-8140025.46657824,-4407092.30194835,-8138781.32218301,-4407146.14784431
7092,Gran Concepción,8,8112,HUALPÉN,-8137590.5631267,-4408449.48095902,-8138834.87583618,-4408395.75644989,-8138781.32218301,-4407146.14784431,-8137537.15404001,-4407199.84858377
7093,Gran Concepción,8,8112,HUALPÉN,-8136346.22672231,-4408503.06023682,-8137590.5631267,-4408449.48095902,-8137537.15404001,-4407199.84858377,-8136292.96221298,-4407253.4041558
7094,Gran Concepción,8,8110,TALCAHUANO,-8135101.86668681,-4408556.4942724,-8136346.22672231,-4408503.06023682,-8136292.96221298,-4407253.4041558,-8135048.74676568,-4407306.81454953
